iter	RMSE
0	10.50262437
1	10.26714226
2	10.04602504
3	9.846093968
4	9.657263147
5	9.496194774
6	9.351109014
7	9.20292702
8	9.08436987
9	8.968819997
10	8.875214246
11	8.791964885
12	8.733105112
13	8.670616986
14	8.601093672
15	8.529778174
16	8.49399235
17	8.413233385
18	8.371146494
19	8.338876416
20	8.303350256
21	8.252242932
22	8.195627389
23	8.185520141
24	8.131076933
25	8.074734773
26	8.040164112
27	8.026231545
28	8.020946895
29	7.977554817
30	7.951373974
31	7.920808008
32	7.871972987
33	7.824870969
34	7.81569568
35	7.792282798
36	7.78628235
37	7.760268902
38	7.755232473
39	7.743425362
40	7.70823336
41	7.702178167
42	7.690424744
43	7.68292028
44	7.676979348
45	7.655069701
46	7.64981233
47	7.643968498
48	7.618481037
49	7.612722139
50	7.607326053
51	7.574178085
52	7.569384504
53	7.564407949
54	7.537174813
55	7.486716632
56	7.464549943
57	7.459337997
58	7.454163205
59	7.425104359
60	7.412217368
61	7.390106091
62	7.363429661
63	7.342903883
64	7.323562004
65	7.287153203
66	7.283344781
67	7.249998371
68	7.224492165
69	7.22084533
70	7.19524686
71	7.190791131
72	7.157533698
73	7.154659561
74	7.151083639
75	7.120775226
76	7.09015861
77	7.072962012
78	7.069657583
79	7.042646922
80	7.024521377
81	7.007780759
82	7.001001482
83	6.969289598
84	6.965651152
85	6.96194931
86	6.949752931
87	6.92633509
88	6.906904558
89	6.902684245
90	6.886194332
91	6.859640215
92	6.85608268
93	6.849415133
94	6.835332075
95	6.814479722
96	6.811211583
97	6.782745713
98	6.757827208
99	6.74059728
100	6.716784317
101	6.698706623
102	6.689328688
103	6.662123106
104	6.657691086
105	6.637106731
106	6.633465904
107	6.628164399
108	6.623889741
109	6.604748288
110	6.600888109
111	6.597306957
112	6.569613132
113	6.567138339
114	6.564677679
115	6.546757023
116	6.531617352
117	6.528142027
118	6.512099726
119	6.498125529
120	6.479536458
121	6.458134003
122	6.446539868
123	6.429474097
124	6.426896874
125	6.407888539
126	6.397452791
127	6.387807772
128	6.367327501
129	6.345009851
130	6.335345346
131	6.304960071
132	6.302695467
133	6.298360473
134	6.281807291
135	6.271524726
136	6.254620363
137	6.237389016
138	6.21615363
139	6.197445806
140	6.186677998
141	6.183679209
142	6.16351012
143	6.154442642
144	6.136710869
145	6.134409422
146	6.113322481
147	6.077785635
148	6.05087582
149	6.047470627
150	6.026175993
151	6.010107729
152	5.99861853
153	5.982474523
154	5.979505904
155	5.96338467
156	5.947528776
157	5.941991429
158	5.939690838
159	5.90979758
160	5.897844911
161	5.876582867
162	5.874624572
163	5.870532508
164	5.848565158
165	5.837293157
166	5.809108317
167	5.807192348
168	5.794388339
169	5.784174188
170	5.760469268
171	5.741588523
172	5.71112884
173	5.699572866
174	5.673004982
175	5.658767378
176	5.657019182
177	5.647170656
178	5.627910874
179	5.625884914
180	5.619173465
181	5.605695121
182	5.587841806
183	5.586336743
184	5.573889903
185	5.56156253
186	5.537730847
187	5.517376073
188	5.503409966
189	5.491975503
190	5.460023474
191	5.458310073
192	5.447479082
193	5.443366409
194	5.424814537
195	5.415128205
196	5.394931208
197	5.388394843
198	5.370838424
199	5.361074395
200	5.342892754
201	5.332864685
202	5.322323462
203	5.309333345
204	5.294969631
205	5.278168994
206	5.248131112
207	5.240366627
208	5.234302604
209	5.231962838
210	5.214503715
211	5.181036462
212	5.177284437
213	5.161140501
214	5.149314133
215	5.141722862
216	5.128372022
217	5.126495654
218	5.124557527
219	5.117798159
220	5.107544061
221	5.09903399
222	5.083647845
223	5.075514821
224	5.069760012
225	5.065325513
226	5.063908872
227	5.049352521
228	5.047967954
229	5.039702068
230	5.03840451
231	5.02214425
232	5.02076894
233	5.006697258
234	5.000340715
235	4.999264756
236	4.979135535
237	4.977385318
238	4.971159084
239	4.968947948
240	4.964999378
241	4.946480353
242	4.939001322
243	4.927913004
244	4.92189714
245	4.902041705
246	4.892385528
247	4.888814957
248	4.876176344
249	4.874718665
250	4.86266066
251	4.857178114
252	4.845192697
253	4.839327203
254	4.828503163
255	4.814415338
256	4.80333401
257	4.783459093
258	4.773585005
259	4.763831455
260	4.742939509
261	4.732023059
262	4.717108555
263	4.705101433
264	4.702868482
265	4.691882714
266	4.682141684
267	4.674501535
268	4.662851547
269	4.654176874
270	4.641195139
271	4.640044968
272	4.636520305
273	4.630896593
274	4.623778911
275	4.61057679
276	4.59878557
277	4.591037254
278	4.564206185
279	4.556612417
280	4.546183478
281	4.532518084
282	4.524583039
283	4.512251905
284	4.493980112
285	4.492550076
286	4.483308841
287	4.473097949
288	4.468384197
289	4.452779318
290	4.451773471
291	4.443984927
292	4.442983568
293	4.430738037
294	4.410874439
295	4.397923088
296	4.394377069
297	4.386987545
298	4.378631841
299	4.372023472
300	4.366989346
301	4.352510596
302	4.349364072
303	4.344043378
304	4.332396189
305	4.324283227
306	4.31671746
307	4.300753828
308	4.291425696
309	4.290409892
310	4.284263492
311	4.280954388
312	4.275236413
313	4.268979466
314	4.262343097
315	4.255290491
316	4.248502262
317	4.241221628
318	4.235424046
319	4.234516656
320	4.223722347
321	4.218931175
322	4.210050151
323	4.204221698
324	4.195516266
325	4.188173661
326	4.186963744
327	4.179829867
328	4.177468637
329	4.170010351
330	4.166222163
331	4.153499248
332	4.149946434
333	4.139802856
334	4.124897285
335	4.117887659
336	4.113384879
337	4.104049042
338	4.095670838
339	4.087591852
340	4.082521597
341	4.075677977
342	4.062851386
343	4.053501139
344	4.052220774
345	4.038870864
346	4.034075878
347	4.032663781
348	4.024644106
349	4.014254337
350	4.011753337
351	4.008348169
352	3.995596956
353	3.984167805
354	3.972797374
355	3.967374096
356	3.961117964
