iter	Passed	Remaining
0	8	3097
1	13	2384
2	19	2316
3	24	2156
4	32	2290
5	39	2308
6	47	2359
7	53	2330
8	58	2279
9	64	2247
10	69	2190
11	74	2151
12	81	2156
13	87	2150
14	94	2147
15	100	2132
16	105	2114
17	111	2095
18	115	2055
19	120	2023
20	125	2002
21	131	2008
22	136	1982
23	141	1964
24	148	1966
25	154	1968
26	159	1948
27	163	1923
28	169	1918
29	174	1902
30	178	1879
31	183	1859
32	193	1895
33	197	1879
34	202	1862
35	207	1849
36	211	1829
37	216	1815
38	220	1797
39	225	1788
40	230	1776
41	235	1762
42	240	1758
43	245	1744
44	252	1749
45	258	1749
46	263	1740
47	268	1729
48	273	1720
49	278	1711
50	282	1697
51	287	1685
52	292	1675
53	296	1665
54	302	1663
55	308	1656
56	312	1644
57	316	1632
58	321	1621
59	325	1609
60	329	1599
61	334	1589
62	338	1580
63	342	1570
64	347	1559
65	351	1549
66	355	1539
67	361	1534
68	366	1530
69	372	1526
70	378	1522
71	383	1518
72	387	1508
73	392	1502
74	397	1493
75	402	1487
76	408	1483
77	413	1477
78	417	1469
79	422	1461
80	426	1453
81	430	1444
82	435	1436
83	439	1429
84	444	1421
85	448	1414
86	454	1411
87	459	1404
88	463	1395
89	468	1388
90	475	1389
91	482	1390
92	488	1385
93	492	1377
94	496	1369
95	502	1364
96	506	1358
97	511	1350
98	515	1343
99	519	1336
100	524	1329
101	529	1322
102	533	1316
103	538	1310
104	542	1302
105	547	1296
106	551	1289
107	557	1285
108	563	1281
109	569	1278
110	574	1274
111	580	1269
112	584	1262
113	588	1255
114	593	1249
115	598	1242
116	602	1235
117	606	1228
118	611	1222
119	615	1215
120	619	1208
121	623	1201
122	628	1195
123	634	1191
124	640	1188
125	646	1184
126	652	1180
127	657	1176
128	667	1179
129	673	1175
130	677	1168
131	682	1163
132	688	1160
133	694	1156
134	700	1151
135	706	1148
136	710	1141
137	716	1137
138	722	1132
139	726	1126
140	732	1121
141	737	1117
142	742	1111
143	748	1107
144	754	1102
145	758	1096
146	765	1092
147	770	1088
148	776	1083
149	784	1082
150	788	1076
151	793	1069
152	799	1066
153	806	1062
154	813	1060
155	819	1055
156	824	1049
157	831	1047
158	838	1044
159	844	1039
160	851	1036
161	857	1032
162	864	1029
163	871	1025
164	878	1021
165	883	1016
166	889	1012
167	896	1008
168	903	1005
169	909	1000
170	915	995
171	920	990
172	925	984
173	930	978
174	934	971
175	939	965
176	943	959
177	948	954
178	953	947
179	959	943
180	965	939
181	971	934
182	977	929
183	983	924
184	988	919
185	993	913
186	998	907
187	1002	901
188	1007	895
189	1012	889
190	1018	885
191	1022	879
192	1028	873
193	1032	867
194	1037	861
195	1042	856
196	1046	850
197	1051	844
198	1056	838
199	1062	834
200	1069	829
201	1075	825
202	1081	820
203	1085	814
204	1091	809
205	1096	803
206	1100	797
207	1104	791
208	1109	785
209	1114	779
210	1118	773
211	1123	768
212	1128	762
213	1133	757
214	1140	753
215	1144	747
216	1148	741
217	1153	735
218	1159	730
219	1166	726
220	1172	721
221	1177	716
222	1182	710
223	1186	704
224	1191	699
225	1196	693
226	1200	687
227	1204	681
228	1210	676
229	1216	671
230	1223	667
231	1230	663
232	1235	657
233	1240	651
234	1244	646
235	1249	640
236	1254	635
237	1261	630
238	1265	624
239	1271	619
240	1276	614
241	1280	608
242	1285	602
243	1290	597
244	1295	592
245	1301	587
246	1308	582
247	1313	577
248	1317	571
249	1322	565
250	1327	560
251	1332	555
252	1337	549
253	1342	544
254	1346	538
255	1350	532
256	1355	527
257	1360	521
258	1364	516
259	1369	510
260	1375	505
261	1380	500
262	1384	495
263	1390	489
264	1396	484
265	1402	479
266	1406	474
267	1410	468
268	1415	462
269	1420	457
270	1424	451
271	1428	446
272	1432	440
273	1438	435
274	1444	430
275	1448	425
276	1453	419
277	1459	414
278	1465	409
279	1469	404
280	1474	398
281	1478	393
282	1484	388
283	1488	382
284	1493	377
285	1499	372
286	1504	366
287	1509	361
288	1514	356
289	1520	351
290	1525	345
291	1529	340
292	1534	335
293	1539	329
294	1544	324
295	1548	319
296	1553	313
297	1558	308
298	1562	303
299	1567	297
300	1573	292
301	1578	287
302	1583	282
303	1587	276
304	1592	271
305	1596	266
306	1602	260
307	1607	255
308	1611	250
309	1616	245
310	1620	239
311	1624	234
312	1629	228
313	1633	223
314	1638	218
315	1642	213
316	1647	207
317	1651	202
318	1657	197
319	1662	192
320	1668	187
321	1673	181
322	1678	176
323	1685	171
324	1696	166
325	1703	161
326	1709	156
327	1716	151
328	1724	146
329	1731	141
330	1737	136
331	1743	131
332	1752	126
333	1759	121
334	1766	115
335	1772	110
336	1779	105
337	1786	100
338	1793	95
339	1803	90
340	1813	85
341	1823	79
342	1829	74
343	1837	69
344	1847	64
345	1855	58
346	1864	53
347	1871	48
348	1878	43
349	1888	37
350	1896	32
351	1905	27
352	1914	21
353	1921	16
354	1931	10
355	1938	5
356	1947	0
